TransactionID,Date,CustomerID,ProductID,StoreID,Quantity,Discount,PaymentMethod,TotalAmount
T00070,2024-12-02,C116,P013,S004,3,0.15,Bank Transfer,2893.74
T00071,2023-11-18,C146,P044,S005,1,0.0,Credit Card,1286.55
T00072,2025-01-05,C161,P012,S002,3,0.0,Credit Card,3579.27
T00073,2024-10-08,C062,P022,S002,5,0.0,Credit Card,127.85
T00074,2024-07-01,C001,P014,S004,4,0.15,Bank Transfer,4565.35
T00075,2024-04-24,C009,P018,S002,3,0.1,Mobile Money,2915.7
T00076,2025-05-20,C019,P005,S002,3,0.05,Mobile Money,3979.23
T00077,2025-06-19,C030,P031,S005,2,0.05,Bank Transfer,2081.87
T00078,2024-07-24,C037,P015,S001,1,0.05,Bank Transfer,256.93
T00079,2024-01-06,C153,P018,S005,3,0.15,Cash,2753.72
T00080,2023-11-21,C120,P021,S003,4,0.1,Mobile Money,4418.06
T00081,2024-06-20,C113,P009,S001,5,0.0,Mobile Money,615.95
T00082,2023-10-23,C189,P009,S003,5,0.1,Cash,554.36
T00083,2024-08-16,C024,P039,S002,5,0.0,Bank Transfer,2704.7
T00084,2025-05-28,C148,P038,S001,2,0.15,Mobile Money,623.78
T00085,2023-10-13,C072,P014,S002,5,0.15,Mobile Money,5706.69
T00086,2023-09-17,C024,P018,S004,3,0.15,Bank Transfer,2753.72
T00087,2024-10-17,C083,P036,S001,2,0.1,Mobile Money,2702.63
T00088,2025-05-23,C178,P024,S004,3,0.15,Cash,3792.9
T00089,2025-01-31,C117,P049,S001,3,0.1,Bank Transfer,1048.3
T00090,2023-11-15,C030,P046,S004,5,0.0,Mobile Money,5826.85
T00091,2025-07-26,C106,P039,S001,2,0.1,Mobile Money,973.69
T00092,2025-05-06,C161,P049,S004,1,0.05,Bank Transfer,368.85
T00093,2023-09-23,C141,P048,S002,3,0.15,Mobile Money,3101.72
T00094,2023-12-24,C032,P019,S001,5,0.05,Credit Card,8373.87
T00095,2024-10-13,C080,P030,S005,1,0.15,Cash,24.85
T00096,2024-06-08,C058,P048,S001,4,0.0,Credit Card,4865.44
T00097,2024-03-16,C128,P038,S003,5,0.1,Mobile Money,1651.19
T00098,2024-08-15,C124,P009,S004,2,0.15,Credit Card,209.42
T00099,2024-10-18,C099,P017,S002,5,0.05,Cash,5919.02
T00100,2025-07-07,C071,P023,S004,3,0.1,Cash,5071.87
T00101,2025-06-06,C073,P013,S003,5,0.15,Credit Card,4822.9
T00102,2025-07-16,C115,P006,S005,4,0.1,Bank Transfer,1144.98
T00103,2024-12-29,C142,P016,S005,4,0.15,Bank Transfer,6319.75
T00104,2025-01-18,C049,P032,S002,5,0.15,Credit Card,1295.02
T00105,2024-01-14,C199,P011,S004,1,0.1,Mobile Money,223.71
T00106,2025-01-29,C181,P049,S004,4,0.05,Mobile Money,1475.39
T00107,2025-03-07,C010,P010,S002,5,0.1,Cash,5373.54
T00108,2025-08-02,C113,P039,S001,5,0.15,Cash,2299.0
T00109,2023-11-09,C185,P030,S002,4,0.05,Cash,111.11
T00110,2024-07-21,C121,P014,S003,3,0.15,Cash,3424.01
T00111,2024-03-24,C085,P043,S005,4,0.1,Mobile Money,2031.91
T00112,2024-01-09,C139,P022,S001,5,0.0,Credit Card,127.85
T00113,2024-10-07,C162,P024,S003,2,0.0,Mobile Money,2974.82
T00114,2025-01-18,C026,P027,S001,4,0.05,Bank Transfer,4834.47
T00115,2025-06-13,C008,P038,S001,3,0.0,Bank Transfer,1100.79
T00116,2024-02-14,C092,P033,S003,4,0.05,Credit Card,6836.09
T00117,2024-06-08,C136,P006,S004,5,0.05,Credit Card,1510.74
T00118,2024-07-01,C045,P037,S001,5,0.15,Credit Card,8298.76
T00119,2024-09-16,C128,P033,S005,2,0.05,Mobile Money,3418.04
T00120,2024-10-26,C164,P024,S003,4,0.1,Cash,5354.68
T00121,2025-03-19,C120,P018,S003,5,0.05,Cash,5129.48
T00122,2025-01-22,C114,P030,S003,5,0.1,Mobile Money,131.58
T00123,2025-03-30,C177,P042,S003,4,0.1,Credit Card,1633.03
T00124,2024-01-04,C099,P016,S004,1,0.05,Mobile Money,1765.81
T00125,2024-06-14,C147,P003,S003,5,0.1,Bank Transfer,1519.34
T00126,2023-10-21,C006,P001,S004,3,0.0,Cash,5021.07
T00127,2025-01-29,C156,P022,S004,3,0.05,Bank Transfer,72.87
T00128,2024-09-17,C057,P029,S002,5,0.1,Credit Card,6682.72
T00129,2024-11-12,C161,P010,S001,1,0.1,Mobile Money,1074.71
T00130,2025-06-29,C009,P003,S005,3,0.05,Cash,962.25
T00131,2024-01-10,C076,P015,S003,4,0.05,Credit Card,1027.71
T00132,2025-05-20,C034,P007,S005,3,0.1,Credit Card,3980.12
T00133,2024-04-14,C066,P016,S004,3,0.1,Cash,5018.62
T00134,2024-05-26,C120,P045,S001,2,0.05,Mobile Money,3570.25
T00135,2024-08-30,C143,P025,S003,1,0.15,Cash,364.78
T00136,2024-07-12,C068,P037,S005,1,0.15,Bank Transfer,1659.75
T00137,2024-05-26,C173,P024,S003,5,0.15,Bank Transfer,6321.49
T00138,2024-01-21,C028,P028,S002,4,0.0,Bank Transfer,2695.12
T00139,2023-12-31,C157,P027,S002,1,0.15,Bank Transfer,1081.4
T00140,2025-02-03,C167,P030,S004,1,0.05,Cash,27.78
T00141,2023-11-23,C010,P024,S003,4,0.0,Cash,5949.64
T00142,2024-09-27,C061,P049,S005,2,0.15,Mobile Money,660.04
T00143,2025-08-09,C095,P033,S005,4,0.05,Mobile Money,6836.09
T00144,2023-12-18,C168,P044,S001,4,0.15,Bank Transfer,4374.27
T00145,2025-03-10,C009,P009,S003,2,0.15,Mobile Money,209.42
T00146,2024-05-12,C061,P039,S003,1,0.1,Bank Transfer,486.85
T00147,2024-09-17,C016,P035,S004,3,0.05,Cash,4452.93
T00148,2024-04-09,C117,P016,S001,2,0.0,Cash,3717.5
T00149,2023-10-16,C086,P014,S002,2,0.05,Cash,2551.22
T00150,2024-08-30,C196,P029,S005,2,0.05,Credit Card,2821.6
T00151,2024-09-04,C085,P021,S002,5,0.0,Bank Transfer,6136.2
T00152,2024-10-21,C038,P044,S002,5,0.1,Credit Card,5789.48
T00153,2024-04-20,C029,P006,S001,2,0.0,Bank Transfer,636.1
T00154,2025-07-02,C061,P026,S005,3,0.0,Credit Card,3047.28
T00155,2024-07-25,C068,P014,S001,2,0.15,Cash,2282.67
T00156,2024-11-19,C191,P008,S001,4,0.15,Bank Transfer,373.25
T00157,2024-09-29,C132,P003,S005,1,0.15,Credit Card,286.99
T00158,2024-08-22,C158,P023,S001,5,0.1,Mobile Money,8453.12
T00159,2025-08-03,C165,P042,S001,1,0.15,Mobile Money,385.58
T00160,2023-10-06,C110,P021,S001,4,0.15,Cash,4172.62
T00161,2025-05-17,C021,P046,S003,5,0.05,Cash,5535.51
T00162,2024-05-03,C033,P029,S003,5,0.1,Mobile Money,6682.72
T00163,2025-03-16,C153,P033,S005,3,0.15,Mobile Money,4587.37
T00164,2024-07-28,C026,P003,S001,5,0.05,Mobile Money,1603.74
T00165,2025-08-19,C116,P005,S002,4,0.1,Mobile Money,5026.39
T00166,2025-01-28,C103,P030,S004,1,0.1,Mobile Money,26.32
T00167,2023-10-22,C081,P038,S003,3,0.05,Mobile Money,1045.75
T00168,2024-03-11,C018,P022,S001,1,0.0,Mobile Money,25.57
T00169,2024-08-01,C025,P018,S003,2,0.0,Bank Transfer,2159.78
T00170,2024-02-25,C172,P044,S001,4,0.1,Mobile Money,4631.58
T00171,2023-12-23,C185,P035,S001,3,0.1,Bank Transfer,4218.56
T00172,2025-01-18,C027,P045,S005,5,0.05,Credit Card,8925.63
T00173,2024-09-02,C169,P027,S004,2,0.0,Bank Transfer,2544.46
T00174,2025-05-22,C143,P010,S003,1,0.1,Credit Card,1074.71
T00175,2024-11-27,C110,P006,S005,5,0.0,Bank Transfer,1590.25
T00176,2025-08-13,C008,P012,S002,3,0.1,Bank Transfer,3221.34
T00177,2025-08-17,C090,P023,S001,2,0.05,Mobile Money,3569.09
T00178,2024-04-08,C018,P016,S002,1,0.0,Credit Card,1858.75
T00179,2024-04-05,C097,P020,S004,4,0.1,Credit Card,1166.11
T00180,2024-06-04,C095,P009,S003,3,0.0,Cash,369.57
T00181,2024-06-28,C040,P030,S002,5,0.0,Cash,146.2
T00182,2023-12-31,C070,P029,S004,4,0.15,Mobile Money,5049.17
T00183,2025-05-21,C107,P012,S003,2,0.0,Bank Transfer,2386.18
T00184,2024-08-23,C111,P002,S001,3,0.15,Bank Transfer,2087.84
T00185,2025-07-02,C012,P030,S002,4,0.0,Cash,116.96
T00186,2024-06-21,C053,P029,S003,2,0.05,Bank Transfer,2821.6
T00187,2024-09-26,C075,P013,S003,1,0.0,Mobile Money,1134.8
T00188,2024-04-22,C192,P016,S004,2,0.05,Mobile Money,3531.62
T00189,2025-03-26,C137,P044,S002,5,0.1,Cash,5789.48
T00190,2025-05-30,C102,P020,S001,4,0.0,Mobile Money,1295.68
T00191,2023-09-24,C020,P007,S003,5,0.15,Mobile Money,6265.01
T00192,2023-10-27,C182,P019,S004,3,0.0,Mobile Money,5288.76
T00193,2025-01-13,C006,P027,S003,2,0.15,Bank Transfer,2162.79
T00194,2023-12-08,C023,P010,S004,1,0.05,Mobile Money,1134.41
T00195,2025-06-07,C151,P016,S004,5,0.0,Mobile Money,9293.75
T00196,2024-09-07,C080,P011,S003,2,0.1,Credit Card,447.43
T00197,2024-05-23,C020,P025,S005,1,0.05,Bank Transfer,407.69
T00198,2025-03-14,C090,P025,S002,2,0.0,Credit Card,858.3
T00199,2025-08-05,C066,P025,S002,2,0.05,Cash,815.38
T00200,2023-11-30,C046,P044,S004,4,0.15,Bank Transfer,4374.27
T00201,2023-09-27,C161,P042,S003,2,0.15,Cash,771.15
T00202,2024-01-04,C121,P027,S004,3,0.1,Cash,3435.02
T00203,2024-01-08,C091,P017,S005,1,0.1,Mobile Money,1121.5
T00204,2025-07-24,C116,P050,S001,1,0.1,Bank Transfer,940.18
T00205,2025-04-19,C020,P004,S001,5,0.15,Mobile Money,7878.52
T00206,2023-10-14,C149,P043,S005,1,0.15,Credit Card,479.76
T00207,2023-10-30,C083,P035,S005,4,0.05,Cash,5937.23
T00208,2025-03-21,C116,P004,S001,3,0.0,Credit Card,5561.31
T00209,2025-03-01,C011,P028,S002,4,0.15,Credit Card,2290.85
T00210,2024-08-02,C094,P021,S003,3,0.15,Mobile Money,3129.46
T00211,2025-04-08,C199,P023,S003,5,0.0,Bank Transfer,9392.35
T00212,2025-06-16,C017,P045,S003,1,0.15,Bank Transfer,1597.22
T00213,2024-11-28,C065,P008,S005,2,0.1,Cash,197.6
T00214,2024-10-10,C150,P025,S002,3,0.1,Mobile Money,1158.7
T00215,2025-06-10,C034,P034,S005,1,0.1,Mobile Money,385.24
T00216,2024-08-22,C165,P031,S003,2,0.0,Mobile Money,2191.44
T00217,2024-12-27,C131,P048,S003,1,0.1,Bank Transfer,1094.72
T00218,2024-03-10,C047,P048,S002,3,0.15,Credit Card,3101.72
T00219,2025-04-04,C058,P035,S002,2,0.0,Bank Transfer,3124.86
T00220,2024-04-18,C026,P021,S005,5,0.0,Bank Transfer,6136.2
T00221,2025-07-29,C197,P002,S005,2,0.15,Credit Card,1391.89
T00222,2025-04-07,C042,P045,S002,5,0.05,Mobile Money,8925.63
T00223,2025-08-13,C012,P046,S004,3,0.05,Mobile Money,3321.3
T00224,2025-06-24,C157,P017,S003,4,0.05,Credit Card,4735.22
T00225,2023-11-30,C080,P020,S004,2,0.1,Mobile Money,583.06
T00226,2024-05-18,C119,P020,S003,4,0.15,Credit Card,1101.33
T00227,2024-08-25,C052,P032,S005,2,0.1,Cash,548.48
T00228,2024-06-13,C165,P026,S004,3,0.0,Cash,3047.28
T00229,2025-07-12,C073,P042,S001,2,0.1,Mobile Money,816.52
T00230,2024-12-05,C132,P022,S002,4,0.0,Credit Card,102.28
T00231,2025-06-20,C116,P046,S003,1,0.15,Cash,990.56
T00232,2025-01-26,C102,P038,S005,3,0.05,Mobile Money,1045.75
T00233,2024-08-11,C021,P050,S003,2,0.0,Bank Transfer,2089.28
T00234,2025-04-18,C026,P021,S003,2,0.05,Cash,2331.76
T00235,2025-08-10,C074,P007,S004,2,0.15,Mobile Money,2506.0
T00236,2024-01-27,C158,P050,S001,1,0.0,Bank Transfer,1044.64
T00237,2024-05-08,C056,P039,S002,5,0.15,Cash,2299.0
T00238,2023-09-27,C199,P023,S003,2,0.1,Cash,3381.25
T00239,2024-04-27,C013,P014,S002,4,0.15,Cash,4565.35
T00240,2024-09-03,C029,P018,S004,5,0.0,Credit Card,5399.45
T00241,2024-10-28,C184,P034,S002,3,0.15,Cash,1091.53
T00242,2025-03-30,C158,P015,S003,2,0.15,Credit Card,459.76
T00243,2025-09-03,C171,P044,S001,5,0.1,Cash,5789.48
T00244,2024-04-09,C135,P002,S005,5,0.0,Mobile Money,4093.8
T00245,2024-09-14,C121,P011,S001,4,0.1,Bank Transfer,894.85
T00246,2024-06-03,C192,P030,S001,3,0.0,Bank Transfer,87.72
T00247,2024-12-07,C062,P022,S001,5,0.1,Credit Card,115.06
T00248,2023-11-17,C012,P035,S003,5,0.1,Credit Card,7030.94
T00249,2025-02-02,C200,P039,S004,4,0.05,Credit Card,2055.57
T00250,2025-07-08,C017,P037,S004,1,0.1,Credit Card,1757.39
T00251,2024-08-03,C012,P022,S002,1,0.1,Bank Transfer,23.01
T00252,2024-03-20,C132,P046,S004,5,0.15,Bank Transfer,4952.82
T00253,2024-02-20,C010,P004,S002,3,0.1,Cash,5005.18
T00254,2025-03-16,C168,P046,S003,3,0.0,Bank Transfer,3496.11
T00255,2024-11-11,C112,P039,S004,4,0.15,Bank Transfer,1839.2
T00256,2024-09-29,C048,P015,S004,4,0.1,Bank Transfer,973.62
T00257,2024-10-18,C022,P040,S004,1,0.15,Credit Card,1483.77
T00258,2025-03-27,C140,P046,S003,3,0.0,Cash,3496.11
T00259,2025-05-10,C084,P011,S003,3,0.15,Mobile Money,633.85
T00260,2025-02-26,C043,P024,S004,3,0.15,Cash,3792.9
T00261,2023-11-16,C187,P030,S003,5,0.15,Bank Transfer,124.27
T00262,2024-08-04,C164,P039,S001,1,0.15,Bank Transfer,459.8
T00263,2024-10-03,C132,P035,S002,1,0.05,Mobile Money,1484.31
T00264,2025-02-19,C009,P037,S002,1,0.05,Bank Transfer,1855.02
T00265,2025-05-01,C093,P044,S004,5,0.0,Credit Card,6432.75
T00266,2024-05-23,C174,P014,S004,3,0.1,Mobile Money,3625.42
T00267,2023-10-11,C196,P009,S001,5,0.05,Bank Transfer,585.15
T00268,2025-01-23,C102,P016,S003,3,0.05,Cash,5297.44
T00269,2024-05-23,C007,P046,S002,4,0.15,Cash,3962.26
T00270,2024-02-24,C068,P023,S003,4,0.05,Bank Transfer,7138.19
T00271,2025-06-20,C178,P040,S004,2,0.0,Credit Card,3491.22
T00272,2024-12-03,C019,P002,S004,2,0.15,Cash,1391.89
T00273,2023-10-20,C175,P014,S003,3,0.0,Bank Transfer,4028.25
T00274,2023-11-11,C077,P002,S002,2,0.1,Credit Card,1473.77
T00275,2025-07-03,C032,P043,S002,2,0.05,Mobile Money,1072.4
T00276,2023-10-13,C007,P031,S003,5,0.1,Mobile Money,4930.74
T00277,2024-07-16,C142,P035,S002,5,0.0,Cash,7812.15
T00278,2024-10-10,C080,P036,S004,4,0.15,Mobile Money,5104.96
T00279,2025-07-13,C148,P012,S001,2,0.1,Cash,2147.56
T00280,2025-02-05,C116,P020,S004,5,0.1,Credit Card,1457.64
T00281,2024-10-14,C200,P047,S005,5,0.05,Credit Card,5686.6
T00282,2025-03-09,C111,P023,S005,1,0.0,Credit Card,1878.47
T00283,2024-07-12,C078,P026,S002,2,0.1,Credit Card,1828.37
T00284,2024-06-07,C089,P022,S005,3,0.0,Bank Transfer,76.71
T00285,2024-07-01,C051,P009,S005,3,0.05,Bank Transfer,351.09
T00286,2023-10-11,C158,P050,S005,1,0.05,Credit Card,992.41
T00287,2024-07-11,C044,P048,S005,5,0.1,Cash,5473.62
T00288,2024-04-16,C008,P041,S001,1,0.1,Credit Card,1471.51
T00289,2024-05-25,C197,P001,S005,4,0.0,Mobile Money,6694.76
T00290,2024-10-07,C161,P001,S005,3,0.1,Mobile Money,4518.96
T00291,2025-06-12,C063,P043,S004,3,0.15,Cash,1439.27
T00292,2024-07-02,C177,P041,S001,2,0.15,Mobile Money,2779.52
T00293,2025-05-25,C124,P005,S004,2,0.1,Credit Card,2513.2
T00294,2025-03-20,C081,P015,S003,3,0.15,Credit Card,689.65
T00295,2025-04-29,C195,P020,S003,5,0.0,Bank Transfer,1619.6
T00296,2025-05-21,C062,P004,S004,1,0.1,Mobile Money,1668.39
T00297,2024-10-04,C064,P017,S002,1,0.0,Bank Transfer,1246.11
T00298,2024-08-21,C099,P009,S005,4,0.05,Credit Card,468.12
T00299,2023-11-21,C084,P027,S005,3,0.05,Credit Card,3625.86
T00300,2023-11-15,C128,P011,S005,4,0.15,Bank Transfer,845.14
T00301,2024-12-07,C128,P032,S001,1,0.15,Mobile Money,259.0
T00302,2024-12-11,C062,P014,S002,5,0.1,Cash,6042.38
T00303,2025-09-09,C013,P017,S003,4,0.15,Bank Transfer,4236.77
T00304,2024-06-08,C138,P014,S001,1,0.15,Credit Card,1141.34
T00305,2024-10-08,C068,P029,S003,4,0.1,Cash,5346.18
T00306,2024-10-17,C103,P001,S001,5,0.05,Bank Transfer,7950.03
T00307,2025-07-14,C142,P012,S003,1,0.15,Mobile Money,1014.13
T00308,2024-11-23,C196,P023,S005,3,0.0,Credit Card,5635.41
T00309,2024-04-07,C025,P049,S004,3,0.1,Bank Transfer,1048.3
T00310,2023-11-28,C194,P010,S002,2,0.15,Cash,2030.0
T00311,2024-07-01,C012,P031,S001,2,0.1,Mobile Money,1972.3
T00312,2025-01-08,C133,P024,S004,2,0.05,Bank Transfer,2826.08
T00313,2024-12-19,C157,P038,S003,2,0.15,Bank Transfer,623.78
T00314,2025-04-13,C152,P028,S003,5,0.15,Bank Transfer,2863.56
T00315,2023-09-19,C122,P026,S001,3,0.1,Cash,2742.55
T00316,2025-04-01,C107,P003,S005,3,0.0,Mobile Money,1012.89
T00317,2025-02-27,C068,P047,S005,5,0.05,Cash,5686.6
T00318,2025-05-24,C150,P043,S004,2,0.15,Credit Card,959.51
T00319,2025-02-05,C175,P014,S002,1,0.0,Credit Card,1342.75
T00320,2024-10-06,C005,P032,S004,3,0.15,Credit Card,777.01
T00321,2024-11-08,C106,P016,S002,4,0.15,Cash,6319.75
T00322,2024-12-03,C181,P018,S002,5,0.05,Bank Transfer,5129.48
T00323,2025-04-25,C170,P037,S004,5,0.15,Bank Transfer,8298.76
T00324,2024-04-20,C045,P003,S004,5,0.1,Bank Transfer,1519.34
T00325,2023-12-29,C174,P014,S003,5,0.15,Credit Card,5706.69
T00326,2024-10-02,C064,P002,S003,5,0.1,Credit Card,3684.42
T00327,2025-06-27,C077,P045,S003,2,0.15,Bank Transfer,3194.44
T00328,2025-05-22,C123,P043,S003,5,0.1,Bank Transfer,2539.89
T00329,2024-12-13,C032,P036,S005,5,0.15,Mobile Money,6381.2
T00330,2023-11-17,C089,P034,S002,3,0.0,Bank Transfer,1284.15
T00331,2024-11-26,C183,P046,S001,3,0.15,Bank Transfer,2971.69
T00332,2024-03-11,C192,P002,S004,2,0.05,Bank Transfer,1555.64
T00333,2024-09-18,C144,P026,S003,2,0.0,Credit Card,2031.52
T00334,2025-09-01,C063,P026,S001,5,0.05,Credit Card,4824.86
T00335,2024-10-26,C014,P041,S001,4,0.1,Mobile Money,5886.04
T00336,2024-12-12,C026,P014,S002,1,0.05,Mobile Money,1275.61
T00337,2024-12-20,C168,P043,S004,4,0.05,Bank Transfer,2144.8
T00338,2024-10-31,C083,P010,S003,1,0.0,Credit Card,1194.12
T00339,2024-04-13,C137,P039,S001,2,0.15,Credit Card,919.6
T00340,2024-05-08,C010,P010,S004,4,0.05,Bank Transfer,4537.66
T00341,2023-11-24,C010,P050,S001,3,0.0,Bank Transfer,3133.92
T00342,2025-07-08,C073,P037,S004,5,0.15,Credit Card,8298.76
T00343,2024-11-23,C130,P022,S004,3,0.05,Cash,72.87
T00344,2025-02-20,C085,P045,S002,4,0.1,Credit Card,6764.69
T00345,2025-08-30,C004,P033,S003,3,0.05,Credit Card,5127.06
T00346,2025-03-28,C157,P014,S004,4,0.1,Cash,4833.9
T00347,2025-03-03,C103,P030,S001,2,0.05,Mobile Money,55.56
T00348,2025-03-10,C083,P025,S002,1,0.1,Mobile Money,386.24
T00349,2025-07-12,C061,P025,S004,3,0.1,Bank Transfer,1158.7
T00350,2024-12-25,C150,P015,S005,1,0.1,Bank Transfer,243.4
T00351,2024-12-24,C178,P047,S002,1,0.0,Mobile Money,1197.18
T00352,2024-01-04,C079,P011,S002,4,0.1,Cash,894.85
T00353,2025-03-14,C164,P015,S003,3,0.05,Credit Card,770.78
T00354,2023-12-24,C035,P039,S004,2,0.15,Bank Transfer,919.6
T00355,2023-09-16,C107,P031,S005,4,0.05,Credit Card,4163.74
T00356,2025-08-29,C175,P050,S005,1,0.15,Bank Transfer,887.94
T00357,2024-08-20,C020,P015,S005,1,0.0,Credit Card,270.45
T00358,2023-10-28,C147,P049,S005,2,0.05,Bank Transfer,737.69
T00359,2025-03-22,C134,P006,S004,1,0.05,Mobile Money,302.15
T00360,2024-01-30,C024,P008,S005,4,0.0,Mobile Money,439.12
T00361,2025-08-18,C034,P011,S005,4,0.15,Cash,845.14
T00362,2024-06-17,C144,P026,S004,3,0.0,Mobile Money,3047.28
T00363,2024-09-09,C066,P018,S001,2,0.0,Cash,2159.78
T00364,2024-06-28,C109,P024,S003,1,0.0,Cash,1487.41
T00365,2024-06-15,C121,P045,S001,3,0.15,Credit Card,4791.65
T00366,2025-01-18,C197,P034,S002,4,0.1,Mobile Money,1540.98
T00367,2024-02-08,C115,P005,S004,4,0.0,Credit Card,5584.88
T00368,2023-10-26,C168,P044,S003,1,0.05,Mobile Money,1222.22
T00369,2025-08-10,C136,P019,S002,2,0.0,Cash,3525.84
T00370,2024-12-14,C077,P010,S004,5,0.15,Mobile Money,5075.01
T00371,2024-04-04,C059,P035,S002,4,0.1,Credit Card,5624.75
T00372,2024-08-29,C071,P014,S002,1,0.0,Mobile Money,1342.75
T00373,2025-05-14,C158,P026,S001,2,0.05,Cash,1929.94
T00374,2025-07-19,C026,P013,S005,1,0.15,Cash,964.58
